_class,Username,page,timestamp,videoId,round,component,componentValue,userId
de.tum.rs.dao.Interaction,Doraemon,Video,1714237545525,cRklAvyo0a0,3,Like button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237564140,aUdtFe8inl4,3,'...' button,Open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237566404,aUdtFe8inl4,3,'...' button: Dislike reasons,"[""Dislike the creator""]",Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237566404,aUdtFe8inl4,3,'...' button,Submit,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714237641946,,4,Personalisation slider: Slider,0,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714237644923,,4,Model1: Input Number,0,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237658777,sLaB7GIFdCo,4,'...' button,Open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237658777,sLaB7GIFdCo,4,'...' button,Open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237661881,sLaB7GIFdCo,4,'...' button: Dislike reasons,"[""Dislike the creator""]",Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237661881,sLaB7GIFdCo,4,'...' button: Dislike reasons,"[""Dislike the creator""]",Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237661883,sLaB7GIFdCo,4,'...' button,Submit,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237740888,uFAoPB9A77o,4,'...' button,Open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237743694,uFAoPB9A77o,4,'...' button: Dislike reasons,"[""Too much similar content""]",Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237743694,uFAoPB9A77o,4,'...' button,Submit,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237749259,uFAoPB9A77o,4,Video: Info button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237750568,uFAoPB9A77o,4,Info Button: Explaination,open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237772941,segGbGOHuKI,4,Like button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237922635,Bq1gBGp4k3Q,4,Like button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237972566,vT2Y_NGOwoQ,5,'...' button,Open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237977024,vT2Y_NGOwoQ,5,'...' button,Cancel,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714237978076,vT2Y_NGOwoQ,5,Dislike button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238010706,vT2Y_NGOwoQ,5,Tour,Finish,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238039620,I58HzUhQ3W8,5,Like button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238099550,9hHh1r5QgXA,5,Like button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238108113,QT2hGsmrGf4,5,Dislike button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238111833,N013Z_ivjgM,5,Tour,Finish,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238121755,N013Z_ivjgM,5,Tour,Finish,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238122721,N013Z_ivjgM,5,Video: Info button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238127756,N013Z_ivjgM,5,'See more' button,163,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238130151,N013Z_ivjgM,5,'See more' button,203,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238132903,N013Z_ivjgM,5,'See more' button,70,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238145138,N013Z_ivjgM,5,'...' button,Open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238149665,N013Z_ivjgM,5,'...' button: Dislike reasons,"[""Too much similar content""]",Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238149665,N013Z_ivjgM,5,'...' button,Submit,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238150550,N013Z_ivjgM,5,Dislike button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238172769,R1rkzwLNRWo,5,Dislike button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238225084,xShZK9L1ZLs,5,Dislike button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238241287,hy4pYXk81uI,5,Dislike button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238247155,C2gwB4wcFNU,5,Tour,Finish,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238277165,C2gwB4wcFNU,6,Tour,Finish,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238348660,3zQ3hLQUyGM,6,Like button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238387356,3hwpEd43i_8,6,Tour,Finish,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714238480765,,6,Personalisation slider: Slider,0.9,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714238490087,,6,Model2: Input Number,1,Doraemon
